epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.3203,1.39474,2.1701,1.50583,0.81065,0.56104,0.62837,0.36901,1.22508,1.88995,1.50238,0.000367506,0.000367506,0.000367506
2,96.7262,1.17876,1.42816,1.36793,0.67879,0.57588,0.66776,0.39783,1.18409,1.3739,1.44972,0.00072323,0.00072323,0.00072323
3,144.537,1.14526,1.2255,1.33584,0.79776,0.6937,0.74345,0.43578,1.18555,1.112,1.42222,0.00106429,0.00106429,0.00106429
4,193.041,1.07965,1.02822,1.29536,0.82431,0.7451,0.79831,0.4899,1.10483,0.87154,1.37295,0.00104501,0.00104501,0.00104501
5,240.81,1.03894,0.93794,1.26913,0.78415,0.74708,0.79019,0.46221,1.09195,0.8917,1.33668,0.00102301,0.00102301,0.00102301
6,290.975,1.01189,0.85814,1.24116,0.83887,0.7647,0.81316,0.51466,1.0593,0.77927,1.33077,0.00100101,0.00100101,0.00100101
7,335.994,0.98134,0.80258,1.22064,0.87125,0.78959,0.83491,0.51634,1.03878,0.73188,1.30943,0.000979013,0.000979013,0.000979013
8,380.233,0.96641,0.76677,1.22909,0.87953,0.80522,0.84713,0.54157,1.04524,0.67107,1.31982,0.000957015,0.000957015,0.000957015
9,426.671,0.95378,0.73738,1.21173,0.87522,0.79018,0.84276,0.51696,1.01523,0.6721,1.29648,0.000935018,0.000935018,0.000935018
10,472.33,0.937,0.72586,1.20494,0.8911,0.80177,0.85349,0.54125,1.00395,0.64529,1.27511,0.00091302,0.00091302,0.00091302
11,519.279,0.92316,0.70128,1.18651,0.8649,0.80355,0.83809,0.54176,0.99262,0.65462,1.27048,0.000891022,0.000891022,0.000891022
12,567.105,0.90661,0.68283,1.18967,0.91206,0.79001,0.84447,0.54532,0.979,0.63192,1.27681,0.000869024,0.000869024,0.000869024
13,614.058,0.88686,0.6643,1.17761,0.88052,0.81734,0.86146,0.54945,0.98676,0.61693,1.26801,0.000847026,0.000847026,0.000847026
14,661.298,0.88757,0.65605,1.16857,0.86404,0.82534,0.85894,0.55472,0.97259,0.61702,1.24951,0.000825029,0.000825029,0.000825029
15,708.519,0.86828,0.63127,1.16617,0.8962,0.82205,0.85956,0.56674,0.95614,0.58933,1.24668,0.000803031,0.000803031,0.000803031
16,754.976,0.85364,0.62051,1.15767,0.87605,0.83136,0.86182,0.56305,0.96487,0.58652,1.26636,0.000781033,0.000781033,0.000781033
17,801.403,0.85228,0.60977,1.15309,0.89058,0.84476,0.87435,0.5695,0.94905,0.57213,1.23414,0.000759035,0.000759035,0.000759035
18,848.369,0.83507,0.59931,1.1493,0.91623,0.7923,0.8641,0.5667,0.94668,0.56108,1.23733,0.000737037,0.000737037,0.000737037
19,894.353,0.82896,0.59143,1.1399,0.89594,0.83305,0.87847,0.5728,0.91339,0.55303,1.21874,0.00071504,0.00071504,0.00071504
20,942.403,0.84118,0.59241,1.14029,0.88508,0.82137,0.86996,0.56489,0.93924,0.56381,1.23219,0.000693042,0.000693042,0.000693042
21,991.724,0.84128,0.58546,1.14082,0.8981,0.85581,0.88319,0.58482,0.91003,0.53241,1.2166,0.000671044,0.000671044,0.000671044
22,1041.34,0.82682,0.56732,1.1332,0.90572,0.84193,0.87836,0.58134,0.92507,0.5536,1.23043,0.000649046,0.000649046,0.000649046
23,1090.61,0.81774,0.5625,1.12756,0.90739,0.84296,0.87968,0.58946,0.9104,0.53749,1.22329,0.000627048,0.000627048,0.000627048
24,1140.65,0.81535,0.55988,1.12999,0.90535,0.8495,0.88436,0.58682,0.90268,0.53226,1.2064,0.000605051,0.000605051,0.000605051
25,1187.16,0.82061,0.56012,1.12499,0.91405,0.84472,0.88808,0.59195,0.91085,0.52807,1.20854,0.000583053,0.000583053,0.000583053
26,1235.43,0.79083,0.54312,1.11624,0.90969,0.84817,0.88329,0.58408,0.90682,0.52261,1.21577,0.000561055,0.000561055,0.000561055
27,1283.31,0.81346,0.55309,1.12429,0.90857,0.85983,0.89576,0.5838,0.91627,0.52063,1.21366,0.000539057,0.000539057,0.000539057
28,1331.43,0.79496,0.53844,1.11895,0.90563,0.85806,0.89246,0.58891,0.91077,0.51806,1.21387,0.000517059,0.000517059,0.000517059
29,1378.08,0.79743,0.53709,1.11729,0.91746,0.85826,0.8888,0.59602,0.8948,0.50869,1.20956,0.000495062,0.000495062,0.000495062
30,1424.57,0.79007,0.52998,1.11716,0.90504,0.86024,0.89154,0.59412,0.89576,0.50495,1.20919,0.000473064,0.000473064,0.000473064
31,1472.46,0.77325,0.51147,1.10994,0.91167,0.84761,0.89113,0.59903,0.88918,0.49606,1.19851,0.000451066,0.000451066,0.000451066
